invocation,candidate,exit,duration_us
219,1,w0,8983
219,2,accept,10540
220,1,accept,10603
221,1,z,7525
221,2,z,7453
221,3,w0,8921
221,4,accept,10545
222,1,z,7537
222,2,accept,10548
223,1,z,7506
223,2,accept,10552
224,1,w0,8990
224,2,z,7479
224,3,z,7455
224,4,w0,8908
224,5,w0,8920
224,6,z,7446
224,7,w0,8932
224,8,z,7483
224,9,z,7478
224,10,accept,10540
225,1,accept,10603
226,1,z,7555
226,2,accept,10548
227,1,w0,8966
227,2,z,7453
227,3,accept,10540
228,1,z,7523
228,2,w0,8915
228,3,accept,10540
229,1,accept,10615
230,1,accept,10603
231,1,accept,10615
232,1,accept,10604
233,1,z,7506
233,2,z,7482
233,3,w0,8917
233,4,accept,10540
234,1,accept,10619
235,1,w0,9004
235,2,z,7448
235,3,w0,8922
235,4,z,7460
235,5,z,7456
235,6,w0,8934
235,7,accept,10541
236,1,accept,10603
237,1,accept,10603
238,1,accept,10619
239,1,z,7513
239,2,z,7481
239,3,accept,10548
240,1,accept,10603
241,1,accept,10604
242,1,w0,8985
242,2,z,7464
242,3,accept,10541
243,1,z,7513
243,2,accept,10548
244,1,z,7516
244,2,w0,8937
244,3,w0,8918
244,4,z,7450
244,5,z,7458
244,6,w0,8934
244,7,w0,8907
244,8,z,7450
244,9,accept,10540
245,1,z,7540
245,2,z,7483
245,3,w0,8931
245,4,w0,8928
245,5,z,7451
245,6,accept,10541
246,1,accept,10604
247,1,z,7521
247,2,accept,10548
248,1,w0,8968
248,2,z,7484
248,3,w0,8924
248,4,w0,8905
248,5,z,7467
248,6,w0,8908
248,7,z,7485
248,8,z,7452
248,9,accept,10539
249,1,z,7546
249,2,w0,8946
249,3,w0,8937
249,4,accept,10540
250,1,z,7522
250,2,z,7480
250,3,w0,8928
250,4,w0,8937
250,5,z,7469
250,6,w0,8919
250,7,accept,10540
251,1,z,7514
251,2,w0,8920
251,3,z,7456
251,4,z,7467
251,5,w0,8906
251,6,z,7447
251,7,w0,8913
251,8,w0,8917
251,9,w0,8909
251,10,w0,8917
251,11,z,7476
251,12,z,7450
251,13,z,7461
251,14,w0,8915
251,15,z,7461
251,16,accept,10540
252,1,z,7512
252,2,z,7454
252,3,z,7462
252,4,z,7452
252,5,w0,8941
252,6,accept,10540
253,1,z,7506
253,2,w0,8917
253,3,accept,10540
254,1,accept,10614
255,1,z,7519
255,2,z,7453
255,3,w0,8944
255,4,z,7477
255,5,accept,10541
256,1,w0,8966
256,2,accept,10540
257,1,z,7536
257,2,w0,8938
257,3,w0,8934
257,4,z,7481
257,5,w0,8941
257,6,z,7480
257,7,w0,8917
257,8,z,7462
257,9,accept,10541
258,1,w0,8998
258,2,accept,10540
259,1,w0,9015
259,2,z,7460
259,3,w0,8902
259,4,accept,10539
260,1,accept,10603
261,1,accept,10604
262,1,accept,10603
263,1,z,7536
263,2,z,7455
263,3,w0,8914
263,4,accept,10540
264,1,z,7536
264,2,accept,10548
265,1,w0,8994
265,2,z,7449
265,3,z,7483
265,4,w0,8904
265,5,w0,8931
265,6,accept,10540
266,1,z,7527
266,2,accept,10552
267,1,accept,10615
268,1,w0,8989
268,2,z,7473
268,3,accept,10540
269,1,z,7527
269,2,w0,8916
269,3,accept,10540
270,1,z,7516
270,2,z,7480
270,3,w0,8918
270,4,accept,10540
271,1,w0,8988
271,2,z,7450
271,3,z,7449
271,4,accept,10540
272,1,z,7542
272,2,w0,8942
272,3,z,7467
272,4,accept,10540
273,1,accept,10603
274,1,accept,10615
275,1,z,7530
275,2,w0,8913
275,3,accept,10540
276,1,z,7529
276,2,z,7482
276,3,z,7454
276,4,z,7483
276,5,w0,8935
276,6,z,7477
276,7,z,7461
276,8,accept,10540
277,1,accept,10616
278,1,z,7502
278,2,w0,8936
278,3,accept,10540
279,1,z,7526
279,2,w0,8939
279,3,z,7454
279,4,z,7476
279,5,z,7487
279,6,z,7461
279,7,w0,8926
279,8,accept,10540
280,1,w0,8970
280,2,z,7454
280,3,accept,10540
281,1,w0,8983
281,2,z,7452
281,3,z,7453
281,4,accept,10541
282,1,z,7513
282,2,w0,8917
282,3,w0,8934
282,4,accept,10541
283,1,w0,8994
283,2,z,7467
283,3,w0,8903
283,4,accept,10544
284,1,z,7515
284,2,z,7454
284,3,w0,8917
284,4,z,7483
284,5,w0,8909
284,6,z,7482
284,7,w0,8928
284,8,z,7477
