board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_05,inline,1000,1,31,6
rp2040_1,run_05,inline,1000,1,32,1
rp2040_1,run_05,inline,1000,1,33,2
rp2040_1,run_05,inline,1000,1,34,2
rp2040_1,run_05,inline,1000,1,35,7
rp2040_1,run_05,inline,1000,1,36,8
rp2040_1,run_05,inline,1000,1,37,9
rp2040_1,run_05,inline,1000,1,38,2
rp2040_1,run_05,inline,1000,1,39,1
rp2040_1,run_05,inline,1000,1,40,1
rp2040_1,run_05,inline,1000,1,41,2
rp2040_1,run_05,inline,1000,1,42,5
rp2040_1,run_05,inline,1000,1,43,5
rp2040_1,run_05,inline,1000,1,44,5
rp2040_1,run_05,inline,1000,1,45,1
rp2040_1,run_05,inline,1000,1,46,6
rp2040_1,run_05,inline,1000,1,47,6
rp2040_1,run_05,inline,1000,1,48,4
rp2040_1,run_05,inline,1000,1,49,2
rp2040_1,run_05,inline,1000,1,50,1
rp2040_1,run_05,inline,1000,1,51,1
rp2040_1,run_05,inline,1000,1,52,1
rp2040_1,run_05,inline,1000,1,53,4
rp2040_1,run_05,inline,1000,1,54,12
rp2040_1,run_05,inline,1000,1,55,28
rp2040_1,run_05,inline,1000,1,56,14
rp2040_1,run_05,inline,1000,1,57,1
rp2040_1,run_05,inline,1000,1,58,4
rp2040_1,run_05,inline,1000,1,59,1
rp2040_1,run_05,inline,1000,1,60,2
rp2040_1,run_05,inline,1000,1,61,11
rp2040_1,run_05,inline,1000,1,62,11
rp2040_1,run_05,inline,1000,1,63,4
rp2040_1,run_05,inline,1000,1,64,3
rp2040_1,run_05,inline,1000,1,65,1
rp2040_1,run_05,inline,1000,1,66,0
rp2040_1,run_05,inline,1000,1,67,5
rp2040_1,run_05,inline,1000,1,68,8
rp2040_1,run_05,inline,1000,1,69,4
rp2040_1,run_05,inline,1000,1,70,1
rp2040_1,run_05,inline,1000,1,71,9
rp2040_1,run_05,inline,1000,1,72,13
rp2040_1,run_05,inline,1000,1,73,8
rp2040_1,run_05,inline,1000,1,74,1
rp2040_1,run_05,inline,1000,1,75,2
rp2040_1,run_05,inline,1000,1,76,2
rp2040_1,run_05,inline,1000,1,77,0
rp2040_1,run_05,inline,1000,1,78,3
rp2040_1,run_05,inline,1000,1,79,12
rp2040_1,run_05,inline,1000,1,80,3
rp2040_1,run_05,inline,1000,1,81,2
rp2040_1,run_05,inline,1000,1,82,1
rp2040_1,run_05,inline,1000,1,83,2
rp2040_1,run_05,inline,1000,1,84,1
rp2040_1,run_05,inline,1000,1,85,1
rp2040_1,run_05,inline,1000,1,86,5
rp2040_1,run_05,inline,1000,1,87,4
rp2040_1,run_05,inline,1000,1,88,4
rp2040_1,run_05,inline,1000,1,89,0
rp2040_1,run_05,inline,1000,1,90,0
rp2040_1,run_05,inline,1000,1,91,3
rp2040_1,run_05,inline,1000,1,92,4
rp2040_1,run_05,inline,1000,1,93,1
rp2040_1,run_05,inline,1000,1,94,4
rp2040_1,run_05,inline,1000,1,95,1
